                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2896,                 2.1532,                 2.2412,                 2.6256,                0.53345,                0.43727,                 0.4211,                0.19741,                0.15666,                0.01808,                0.00272,                0.00036,                 1.9787,                 1.8466,                 2.0441,                 2.6214,             0.00034895,             0.00034895,             0.00034895
                     37,                 2.2494,                 2.2078,                 2.2324,                 2.5861,                0.57113,                0.43011,                 0.4392,                0.21174,                0.14519,                0.00916,                0.00044,                  7e-05,                 1.9044,                 1.7562,                 1.9611,                 2.5108,             0.00034374,             0.00034374,             0.00034374
                     38,                 2.1486,                  2.158,                 2.1889,                  2.551,                0.59279,                0.43766,                0.44847,                0.22093,                0.15486,                0.01462,                0.00487,                0.00053,                 1.9253,                 1.7581,                 1.9354,                 2.5392,             0.00033853,             0.00033853,             0.00033853
                     39,                 2.2096,                 2.2093,                 2.1584,                 2.5436,                0.54164,                0.47307,                0.44556,                0.22088,                0.15454,                0.03002,                0.00317,                0.00044,                 1.8792,                  1.734,                 1.8897,                 2.5121,             0.00033333,             0.00033333,             0.00033333
                     40,                 2.2338,                 2.1418,                 2.1645,                 2.5774,                0.51447,                0.43401,                0.42507,                0.20986,                0.15384,                0.01999,                0.00197,                0.00025,                  1.956,                 1.7303,                 1.9347,                 2.5636,             0.00032812,             0.00032812,             0.00032812
                     41,                 2.1996,                 2.1795,                 2.1678,                 2.5397,                0.57532,                 0.4327,                0.43109,                0.21276,                0.18151,                0.05455,                0.02765,                0.00382,                 1.9061,                 1.7582,                 1.8918,                 2.5269,             0.00032291,             0.00032291,             0.00032291
                     42,                 2.1623,                  2.153,                 2.1019,                 2.4996,                0.58812,                0.44418,                 0.4498,                0.22128,                0.19445,                0.06494,                0.03854,                0.00511,                 1.8575,                 1.7519,                 1.8467,                 2.4556,              0.0003177,              0.0003177,              0.0003177
                     43,                 2.1338,                  2.141,                 2.0213,                  2.473,                0.51651,                0.43156,                0.41114,                0.19704,                0.18617,                 0.0745,                0.02937,                0.00514,                 1.8822,                 1.7168,                 1.9097,                 2.4469,              0.0003125,              0.0003125,              0.0003125
                     44,                 2.1341,                 2.0827,                 2.0727,                  2.485,                0.60398,                 0.4745,                0.45623,                0.22052,                0.17373,                0.04373,                0.01831,                0.00315,                   1.84,                 1.6828,                 1.8393,                  2.448,             0.00030729,             0.00030729,             0.00030729
                     45,                 2.1767,                 2.0966,                 2.0979,                 2.5203,                0.50643,                0.45055,                0.41989,                0.20964,                0.20981,                0.08475,                0.04804,                0.00874,                 1.8523,                 1.6619,                 1.8666,                 2.4303,             0.00030208,             0.00030208,             0.00030208
                     46,                 2.0746,                 2.0876,                 2.0255,                   2.43,                0.51105,                0.43515,                0.41862,                0.20784,                 0.1908,                0.04665,                0.01697,                0.00201,                 1.9056,                 1.6746,                 1.9094,                 2.4675,             0.00029687,             0.00029687,             0.00029687
                     47,                 2.0762,                 2.0806,                 1.9579,                 2.4184,                0.67477,                0.44976,                0.48104,                0.24619,                0.34462,                 0.0812,                0.03348,                 0.0044,                 1.8391,                 1.6455,                 1.7911,                 2.4396,             0.00029167,             0.00029167,             0.00029167
                     48,                 2.0351,                 2.0243,                 1.9704,                 2.4135,                0.75922,                0.42714,                0.50295,                0.25683,                0.32362,                0.06086,                0.02581,                0.00307,                 1.7894,                   1.77,                   1.77,                 2.4654,             0.00028646,             0.00028646,             0.00028646
                     49,                 2.0153,                 2.0653,                 1.9635,                 2.3924,                 0.5671,                0.50431,                0.48103,                0.23056,                 0.1954,                 0.0969,                0.03754,                0.00484,                 1.8196,                 1.6395,                 1.7411,                  2.401,             0.00028125,             0.00028125,             0.00028125
                     50,                 2.0001,                 2.0194,                 1.9462,                 2.3774,                0.62729,                0.50111,                0.51399,                 0.2628,                0.23866,                0.10739,                0.06335,                0.00804,                 1.7552,                 1.6927,                 1.7502,                 2.3526,             0.00027604,             0.00027604,             0.00027604
                     51,                 1.9729,                 1.9832,                 1.9192,                  2.367,                 0.6663,                0.51614,                0.52875,                0.27565,                0.28021,                0.12659,                0.08702,                0.01986,                 1.7483,                 1.6028,                 1.6577,                 2.3815,             0.00027084,             0.00027084,             0.00027084
